,count,mean,std,min,25%,50%,75%,max
dur,2059415.0,-3.082261779141504e-09,1.000000238418579,-0.08204509317874908,-0.075221486389637,-0.054943788796663284,-0.02204885520040989,230.9513397216797
sbytes,2059415.0,-9.958077029637025e-09,1.000000238418579,-0.24683180451393127,-0.24504207074642181,-0.2286989539861679,-0.12956875562667847,86.04631042480469
dbytes,2059415.0,-9.863237693252813e-08,1.000000238418579,-0.8629129528999329,-0.24930518865585327,-0.24930518865585327,-0.24930518865585327,4.184505462646484
sttl,2059415.0,-8.345816837618258e-08,1.000000238418579,-0.8352101445198059,-0.17164106667041779,-0.17164106667041779,-0.17164106667041779,4.976739883422852
dttl,2059415.0,-2.6080677617557058e-09,1.000000238418579,-0.24876096844673157,-0.24876096844673157,-0.08601022511720657,0.036052826792001724,216.16903686523438
sloss,2059415.0,1.5174212109059226e-08,1.0000001192092896,-0.3180331885814667,-0.3180331885814667,-0.23403680324554443,-0.06604401767253876,92.19559478759766
Sload,2059415.0,9.483882124072807e-09,1.000000238418579,-0.6593912243843079,-0.6423563361167908,-0.5100319385528564,0.196663036942482,28.079923629760742
Dload,2059415.0,8.061300071915412e-09,1.000000238418579,-0.48022568225860596,-0.4305204451084137,-0.2814047336578369,0.1162371039390564,131.8102569580078
Spkts,2059415.0,1.5174212109059226e-08,1.000000238418579,-0.3913305103778839,-0.3598855435848236,-0.24982810020446777,-0.02971324697136879,86.22386932373047
Dpkts,2059415.0,-5.690329629715052e-08,1.000000238418579,-1.5403932332992554,-1.5403932332992554,0.6491948962211609,0.6491948962211609,0.6491948962211609
swin,2059415.0,-4.741941239672087e-08,1.000000238418579,-1.5350059270858765,-1.5350059270858765,0.651470422744751,0.651470422744751,0.651470422744751
dwin,2059415.0,3.074509816501225e-08,1.0000002037702367,-1.0547140510286246,-1.0547140510286246,-0.18983937716904944,0.8805025779875677,1.9479605774454565
stcpb,2059415.0,1.6950739899230155e-08,1.0000002246327928,-1.05465548818251,-1.05465548818251,-0.18992520841298532,0.8799108770277022,1.9483428243365974
dtcpb,2059415.0,1.6122600143830823e-08,1.0000001192092896,-0.7896224856376648,-0.4130544364452362,-0.3462439775466919,-0.012191656976938248,8.345190048217773
smeansz,2059415.0,3.414197635720484e-08,1.000000238418579,-0.971930205821991,-0.7335013151168823,-0.6275328993797302,0.6911849975585938,3.4434196949005127
dmeansz,2059415.0,1.3514532604119722e-08,1.000000238418579,-0.2608233392238617,-0.2608233392238617,-0.2608233392238617,-0.2608233392238617,454.3675842285156
trans_depth,2059415.0,-3.852827390460334e-09,1.000000238418579,-0.09849622845649719,-0.09849622845649719,-0.09849622845649719,-0.09849622845649719,125.136474609375
res_bdy_len,2059415.0,3.2379427241509953e-11,1.0000002336258522,-0.12140515714436738,-0.12140515714436738,-0.1190891060444706,-0.06634929419887872,109.29957005250964
Sjit,2059415.0,-6.804740619544754e-09,1.000000252633254,-0.25887405537114866,-0.25877534602501834,-0.2530823560591656,-0.23362908363442136,240.12687674454577
Djit,2059415.0,-3.7314078064774035e-05,1.0000002710564169,-1.0258637925992407,-1.0066702800850074,0.974787844385074,0.9938138118025703,1.01145927743341
Ltime,2059415.0,-7.703336962209318e-10,1.0000002228347038,-0.06416665638765312,-0.06405701698484619,-0.06386418437613436,-0.05935913223432079,33.76706717531142
Sintpkt,2059415.0,-2.8196634944927473e-09,1.0000002387375773,-0.05242517167500648,-0.052246434473828735,-0.05187674296366077,-0.0442133377187295,46.41126434303918
Dintpkt,2059415.0,-3.793553027264807e-09,1.000000238418579,-0.1433820128440857,-0.1433820128440857,-0.1305726319551468,-0.12916477024555206,198.88809204101562
tcprtt,2059415.0,3.793553027264807e-09,1.000000238418579,-0.1357557624578476,-0.1357557624578476,-0.11770016700029373,-0.11576060205698013,159.4472198486328
synack,2059415.0,7.587106054529613e-09,1.000000238418579,-0.12901794910430908,-0.12901794910430908,-0.12417223304510117,-0.12352360039949417,210.1913604736328
ackdat,2059415.0,-2.904439133644132e-09,1.0000001192092896,-0.03650663420557976,-0.03650663420557976,-0.03650663420557976,-0.03650663420557976,27.39228057861328
is_sm_ips_ports,2059415.0,-5.310974060535045e-08,1.000000238418579,-0.23231685161590576,-0.23231685161590576,-0.23231685161590576,-0.23231685161590576,13.159708976745605
ct_state_ttl,2059415.0,3.129681402924689e-08,1.000000238418579,-0.2385317087173462,-0.2385317087173462,-0.2385317087173462,-0.2385317087173462,71.99612426757812
