Rows: 2059415, Cols: 42
                 count          mean  std       min       25%       50%       75%         max
dur          2059415.0 -3.082262e-09  1.0 -0.082045 -0.075221 -0.054944 -0.022049  230.951340
sbytes       2059415.0 -9.958077e-09  1.0 -0.246832 -0.245042 -0.228699 -0.129569   86.046310
dbytes       2059415.0 -9.863238e-08  1.0 -0.862913 -0.249305 -0.249305 -0.249305    4.184505
sttl         2059415.0 -8.345817e-08  1.0 -0.835210 -0.171641 -0.171641 -0.171641    4.976740
dttl         2059415.0 -2.608068e-09  1.0 -0.248761 -0.248761 -0.086010  0.036053  216.169037
sloss        2059415.0  1.517421e-08  1.0 -0.318033 -0.318033 -0.234037 -0.066044   92.195595
Sload        2059415.0  9.483882e-09  1.0 -0.659391 -0.642356 -0.510032  0.196663   28.079924
Dload        2059415.0  8.061300e-09  1.0 -0.480226 -0.430520 -0.281405  0.116237  131.810257
Spkts        2059415.0  1.517421e-08  1.0 -0.391331 -0.359886 -0.249828 -0.029713   86.223869
Dpkts        2059415.0 -5.690330e-08  1.0 -1.540393 -1.540393  0.649195  0.649195    0.649195
swin         2059415.0 -4.741941e-08  1.0 -1.535006 -1.535006  0.651470  0.651470    0.651470
dwin         2059415.0  3.074510e-08  1.0 -1.054714 -1.054714 -0.189839  0.880503    1.947961
stcpb        2059415.0  1.695074e-08  1.0 -1.054655 -1.054655 -0.189925  0.879911    1.948343
dtcpb        2059415.0  1.612260e-08  1.0 -0.789622 -0.413054 -0.346244 -0.012192    8.345190
smeansz      2059415.0  3.414198e-08  1.0 -0.971930 -0.733501 -0.627533  0.691185    3.443420
dmeansz      2059415.0  1.351453e-08  1.0 -0.260823 -0.260823 -0.260823 -0.260823  454.367584
trans_depth  2059415.0 -3.852827e-09  1.0 -0.098496 -0.098496 -0.098496 -0.098496  125.136475
res_bdy_len  2059415.0  3.237943e-11  1.0 -0.121405 -0.121405 -0.119089 -0.066349  109.299570
Sjit         2059415.0 -6.804741e-09  1.0 -0.258874 -0.258775 -0.253082 -0.233629  240.126877
Djit         2059415.0 -3.731408e-05  1.0 -1.025864 -1.006670  0.974788  0.993814    1.011459
